	adjusted_p_values	mean_all	mean_kmeans_0	pvalues	ratio kmeans_0 to kmeans_3
Gm17835	0.9169532098282058	0.09970392050696487	0.06052922414944865	0.8026160740860069	1.0218908774540303
Anapc2	0.9170340463919053	0.8816774942937631	1.1586721244395253	0.8028712052635166	1.066390560215052
2010300C02Rik	0.9170340463919053	0.1710757228756088	0.17452512466759265	0.802876769218122	1.0472371385838593
Rpe	0.9170340463919053	0.5158808771573721	0.47468284138100697	0.8029285798109793	1.0599709936943802
Gm44045	0.917076976847343	0.10224060535771272	0.1407257178787522	0.8032249440146007	0.9566449960353144
Mycn	0.917076976847343	0.4039633997372216	0.6699502655811221	0.8032330934939071	0.9317246828687191
Rin1	0.917076976847343	0.09253838657262323	0.18143413269032985	0.8033058155453265	0.9508195018098434
Msto1	0.917076976847343	0.3258168072527465	0.3159132527104078	0.8033574638123192	0.9529157500261545
Bbs9	0.917076976847343	0.2548548306107254	0.20629538220159108	0.803450417875637	1.0488186003092537
Armcx3	0.917076976847343	0.5340836575675446	0.46331341817023775	0.803616904663589	1.0635352776428266
Med7	0.917076976847343	0.488979336930688	0.6755077290612629	0.8036277484241463	1.0729642313092984
Zfp830	0.917076976847343	0.5369288945281451	0.6108686706418253	0.8037367694972117	1.0686346237242266
Zfp651	0.917076976847343	0.12158538537035489	0.10293977838206965	0.803882191340456	1.0383094440731964
Ints9	0.917076976847343	0.5265979074109706	0.6044896360418958	0.8038885330288326	0.941916984625047
Rfx1	0.917076976847343	0.20835388316156656	0.29353428521051417	0.8040248833827185	0.9473755826557104
Baz1b	0.917076976847343	0.9478524832624401	0.9981348216403949	0.804037913064064	0.9323126747537778
Zfp518a	0.917076976847343	0.31673782668988576	0.4770550117807514	0.804056232713783	1.0624195784610908
Gm6851	0.917076976847343	0.48167595161578997	0.56276254217946	0.8040943826874155	1.0482031506180396
Pwwp2a	0.917207915274316	0.7225923441323683	0.6653126128191145	0.8042897879193672	1.059686523975663
Ripk2	0.9176785666961166	0.07923304566736376	0.0875829720103756	0.8047831366983519	1.0238051716399763
Dtd1	0.9176956834602308	0.7915902143631275	0.8347645817437782	0.8048787888063764	1.0722649322896516
Iqck	0.9177232232207979	0.2687763276378046	0.1863613469674232	0.8050270501014763	1.0505926541620223
Arpc4	0.9177232232207979	1.705916851484073	2.730283166545885	0.8051354208994728	0.9584605907303785
Ncoa2	0.9177232232207979	1.1427942302990528	1.1248505262417559	0.80524479300491	1.0641917778543353
Cdca2	0.9177232232207979	0.28163174845963274	0.44313485555050736	0.8052633141225735	0.9419477771695062
Zfp68	0.9177232232207979	0.9134624678666466	0.9434347139260948	0.8053111947309096	0.9297892868058322
Zfp120	0.9177232232207979	0.3947326711862996	0.5031478738890258	0.8053868040690781	1.0594738942146513
Btbd9	0.9179492086899291	0.47312223058327224	0.5884746962916825	0.8057372344098491	0.9428638682243651
Crebzf	0.9179492086899291	0.2540323519045713	0.28602576252014833	0.8057464539194817	1.0568243868650173
Sqrdl	0.9179654887591009	0.34393355805046866	0.21554938859928793	0.8058595422479807	1.064318548502051
Prkaca	0.9179654887591009	1.2257405741575362	1.384850740244697	0.8059284353652494	1.048298968252285
Ints2	0.9179654887591009	0.5968449824627011	0.7516863284444145	0.8060472276968158	1.0677658812421058
Arl16	0.9179654887591009	0.36255910580559114	0.33269926176683606	0.8061259533222366	1.0541035944370847
Plxna2	0.9179654887591009	1.1440140197417383	1.2230189817324768	0.8061640680719204	1.0567829334969323
Rnf181	0.9180083192073331	2.9436803766298762	2.8920853861386453	0.8062898520085838	1.0546951463169951
Sh2b1	0.9180083192073331	0.4127108830081794	0.5991742835244683	0.8063630192264061	0.9390851900529406
Sec24a	0.9181571611180009	2.002177329319417	2.7538239047387987	0.8065744410981244	0.9527512904444934
Zfp729b	0.9183366109970366	0.42379310247148244	0.5302389650165287	0.8068127800306126	0.9323080563913733
Lpar6	0.9183987018696286	0.34621050376732976	0.1883511683625838	0.8069632951008641	1.0431939637785859
Zfp235	0.9183987018696286	0.3001268513209513	0.28830581386568566	0.8070287362650516	0.9418298844691164
Fxr2	0.9184713082815512	0.1440003946984096	0.10898817525780359	0.8071732472868008	0.9806524560527863
Cdt1	0.9185107499107414	0.10812804159762734	0.14693140897308443	0.8072886221974724	0.9627698508341395
Gle1	0.9186565705885277	0.40141446275266796	0.5489306131069479	0.8074991024445604	0.9334423107454688
Asnsd1	0.9186565705885277	0.2668595816862844	0.3650757324808572	0.8075782365700905	1.0591724028765497
Ndfip2	0.9190029336251899	0.7460802521845061	0.7527484859509378	0.8079634754762763	1.0708275676443093
Sec22a	0.9190331154203488	1.0607319328696336	1.414487976276517	0.8080707691472768	1.0575985043625242
Tmem109	0.9192863000340218	0.7656030258575468	0.8194696060778603	0.8084470411776934	0.9318843073114791
Prim2	0.9192863000340218	0.5810223447380715	0.9376014114472423	0.8084549464622575	0.9438819448641347
Ramp1	0.9197979101294796	0.893288355347886	0.45247196726309397	0.8091907372933562	1.0542482458565212
Fkbp5	0.9197979101294796	0.43910447874042596	0.6591129133410659	0.8092277019812983	1.063579463831754
Ciz1	0.9197979101294796	0.47647614102263647	0.43359880260035544	0.8092669815795528	0.9421906169729422
Uggt1	0.9197979101294796	0.8501476292791545	0.8495087122259788	0.8092983338821089	0.9434160987248817
Ppm1f	0.9197979101294796	0.09713201376281219	0.09255448345696789	0.8093090047562812	1.035079296101316
Msrb2	0.920308732850346	0.43485491845220553	0.501638683517322	0.8098393366224398	0.9397080802415437
Herc6	0.9204137783654877	0.15152369422453627	0.20107022023125623	0.810033376410427	1.0557956079984518
Gm5148	0.9204137783654877	1.067563026097752	1.5361140577042605	0.8100935328742289	0.9644325392835635
Sumf1	0.9204301962293094	0.2275824219282737	0.1876723307306658	0.8102088450942344	1.0490553128221707
Dynlt1-ps1	0.9204301962293094	1.0029148032851911	1.463851887878065	0.8102837077796161	1.0343108594699233
Pip4k2c	0.9204301962293094	0.3585886805233903	0.26332764098422673	0.8104224176400987	0.9515293433005542
Taf13	0.9204301962293094	0.7206276366284429	0.9323701640664301	0.8104315084549807	1.0698769188536659
Calm2	0.9205793639885487	7.031133813192547	7.257821539201442	0.8106437439832379	1.0127833029003135
Ssna1	0.9206424013420786	1.2190842112480482	1.2677817168914394	0.8108737129646493	1.0657290161247015
Gm20768	0.9206424013420786	0.3167053217737658	0.3863093894248105	0.8109214419991302	1.040530151405872
Rpl17-ps8	0.9206424013420786	1.1734624169881482	1.6513279536055088	0.8110537267393614	1.028510586652559
Vegfb	0.9206424013420786	0.4143150969238372	0.25778826460699084	0.8111454447487021	0.953871785514224
Ick	0.9206424013420786	0.7445378203808437	0.3881958842399982	0.8111793083107639	1.0589463252843563
Vps52	0.9206424013420786	0.30771630850876663	0.5225888288952716	0.8113910318095234	0.9461340775199643
2410004I01Rik	0.9206424013420786	0.7849528225628244	1.4210051767150713	0.811395109212786	0.9341691414118185
Gm9830	0.9206424013420786	0.49735763297657826	0.679486990515591	0.8114448592699385	0.953317272529102
Arl5b	0.9206424013420786	0.7512346532366341	1.1363282460567516	0.8114579420078547	0.9445121761858527
Adamtsl3	0.9206424013420786	0.1309188007618645	0.2024449175121898	0.81172233520972	1.0591152396540218
Thoc2	0.9206424013420786	2.40169179841853	2.965799035449145	0.81182563334604	0.957146051900538
Mrpl46	0.9206424013420786	0.7431828891280182	0.9004706386984629	0.8119131930881046	0.9419756574050999
Uxt	0.9206424013420786	0.5767487252316024	0.6281639684963299	0.8119241460376505	1.0579573834536231
Gm37699	0.9206424013420786	0.09502047193216526	0.13144803491383325	0.8119379667060427	1.0384959625773997
B3gnt9	0.9206424013420786	0.2676780226305537	0.3018660611090066	0.8119467968608903	0.9472266365405096
Srd5a3	0.9206424013420786	0.4710192385356254	0.3609018538882751	0.8119936539780706	0.9528703399062205
Dtx2	0.9207878068881643	0.08832616721700878	0.1326713505712296	0.8122894906128425	1.0343443816209028
Gm38190	0.9207878068881643	0.18712219668212238	0.2759708948741316	0.8123895099174452	1.057664276133816
Pwp2	0.9207878068881643	0.12997613253500342	0.07945460005325604	0.8124069860138624	1.0299147275923468
4930402H24Rik	0.9207878068881643	0.3124363424509741	0.444947290104994	0.8124455508755762	0.9336278515267139
Glb1l	0.9209767155609817	0.11221529182377958	0.05926820001891809	0.8127215376765669	0.9813736131938597
Rad52	0.9209767155609817	0.3616372096156879	0.6639664996187552	0.8127740908944586	0.9400903023203975
Tbpl1	0.9209851774394697	0.45853616477183257	0.3939438720890339	0.8128624887699503	0.9589399833376185
Spata13	0.9209967564295776	0.23034909547638713	0.26157052336518255	0.8129833751045821	1.0548032228814532
Lsm3	0.9209967564295776	0.8973195761394055	1.1230703681997816	0.8130345707461808	1.0523854296363018
Fgfr1op2	0.9210835907801382	1.5942680956677655	1.7514344627028682	0.8132768233004137	1.0578696288849836
Cpox	0.9210835907801382	0.3870577314033652	0.4483251909245901	0.8133475729010925	1.0496399038373292
Pgk1-rs7	0.9210835907801382	0.7732106789136377	1.0800126077960692	0.8134730709732685	0.9525476620365395
Slmap	0.9210835907801382	0.8897339264542116	0.6391229526165004	0.8135280833636003	1.0650063722027687
Mtfmt	0.9210835907801382	0.1643989762308369	0.1929014092281464	0.8135701893877942	1.0444602376649896
Cpne1	0.9210835907801382	0.36367041327058997	0.5387460954324761	0.8137468949299123	1.0468759160538907
Phkb	0.9210835907801382	0.5477895877023301	0.6423189186659364	0.813768349563431	1.067165362123305
Gm14648	0.9210835907801382	0.12073351875473924	0.1425533864672711	0.8139340889842825	1.0238144887629352
Gm38197	0.9210835907801382	0.7297026951421556	0.6864882880658385	0.8139434295217871	0.9453079141125835
