	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
Sun2	0.9478556869281812	0.17082228901692953	0.20079379956590787	0.17100034013162443	0.8917715210964199	1.0254427419132386
ENSMUSG00000091271	0.9480386508071856	0.1141890469871148	0.15734372390770976	0.17944047678802316	0.8920268860812409	0.9812650546465138
Tmed4	0.9481015673159667	1.0554192911755549	1.4423810384994982	1.3628198853490034	0.8922073664369108	1.0336721193366556
E130307A14Rik	0.9481015673159667	0.20910536620274323	0.27689576988667325	0.2447465926160375	0.8922525504018228	1.0258278893562336
Kdm4a	0.9483886885616016	0.5541429973408543	0.5624183585285055	0.6144041807884443	0.8926060161591547	0.967798756421363
H2-Ke6	0.9485929536896606	0.35141780793559	0.1882322667509366	0.15927781383529704	0.8928815423984322	1.0249762848646677
Senp3	0.9488107807868149	0.5157316838755578	0.4656613763577458	0.420330289244411	0.8931698711594256	1.0319158772129333
Nabp1	0.9488351437717528	1.5568767470092526	2.4513409156636525	2.3537744513895236	0.893395006388695	1.0290915401999396
Gm38394	0.9488351437717528	0.03540349252180558	0.0604983295616447	0.07454665928703434	0.893400352217709	0.9869262729505757
Fam57a	0.9488351437717528	0.4357949836911818	0.059668523049803225	0.07165120991883601	0.8934498396584981	0.9888184823960211
Relb	0.9488351437717528	0.13337101518079544	0.2814179049433458	0.2456660829066552	0.8935259930857337	1.028700967721034
Phyhd1	0.9493083139128669	0.18217456377956726	0.0955319040811016	0.11755485439772956	0.8940549198189128	0.9802936292299526
Mrps9	0.9495557151293652	0.5281709563507239	0.6039229581267328	0.6680146942017415	0.8943712815049565	0.9615760362916462
Pld1	0.9495867147751311	0.7999490604664167	0.8822077106536345	0.9491345781039574	0.8944838424666103	0.9656632906715825
Parn	0.9496912293588778	0.2374031011852714	0.22746939677090303	0.1982965813958125	0.8947779931958867	1.0243452379219085
Entpd4	0.9496912293588778	0.21251422879685516	0.07092100668571559	0.06130584837476871	0.8948229301221886	1.0090597430756376
Ccdc146	0.9496912293588778	0.1739515797232649	0.3086789641568001	0.2716043987419973	0.8949023327915888	1.0291557385704868
4930481A15Rik	0.9496912293588778	0.09408676905210644	0.1333397171096071	0.11190965206726991	0.8949157805230616	1.0192732071373733
Arsa	0.9497230604432635	0.17768946916919443	0.1387959111366839	0.116619561333309	0.8950291505450297	1.0198602555170133
Arid1a	0.9499585119246017	2.3716617960575377	2.5290693404219726	2.4424468958884296	0.8953465624767215	1.0251630445300413
Zbtb34	0.9499585119246017	0.1841516253248912	0.2346067760529696	0.19705817487768304	0.8954666559198026	1.0313673988142835
Serpinb6b	0.9499585119246017	4.62298615465082	4.211945340430623	4.096502732838746	0.895682757601571	1.0226513383085298
Rfc3	0.9499585119246017	0.2401324648301172	0.4537829433794711	0.4038787023750373	0.8957885735906331	1.03554740229338
Cyp51	0.9499585119246017	0.7355485395775941	1.1208948942953092	1.1963813888335073	0.8958037715520052	0.9656314267995647
